order_line_id,prescription_code
OL_be14618b820669f8,AA254090
OL_ba9e532a4b381aab,628900920
OL_d872d76e7f2f9bdc,693900030
OL_bb2ac22a8570cc93,642102570
OL_d48b5318a0cbfcee,642102570
OL_c9e42101c0d7bf05,642202450
OL_9de35c7527c487ef,628900930
OL_e6e82f7592799c60,667400853
OL_93469d0dda0063c3,628900390
OL_d129c5359be7b53a,628900310
OL_1e86578eb2d3cd33,628900710
OL_6e4982f344c80a87,628901290
OL_9646f32e3a4b9bed,628901250
OL_b9d8b9ddfa537f64,642201350
OL_909fffadf190eaf9,668902990
OL_04b8aaad5a2457bb,AAA
OL_779a1340226efa37,2CHOK8
OL_b3b1b79e6b539339,2CHOK20
OL_0a92a9a8834c9830,2CHOK20
OL_003ff3a91d2f6ca1,IC001
OL_b562a104a9a39282,670801331
OL_57d5425fad32426e,AA254090
OL_d9dd64fc8047153e,AA254
OL_6d55da5905d1ad7b,AX004
OL_54e0ed3e6d6c115d,IC001
OL_a43e06228b11c013,641600370
OL_925b9833227b3d72,643605160
OL_70cb3d44b381e7e5,662504840
OL_a60538382ddc6a64,665002860
OL_dbbc23156b04fc42,693900230
OL_17b33ab1bce55d6f,2CHOK20
OL_aa01060925a040f7,AL801
OL_720aa0a7c5ad8b1b,AN500004
OL_67e9cd82effb5ac6,KK052
OL_96c903a7bc7c7a42,BAS
OL_bd7718005ee83532,D0113
OL_f2df23e6286dcb8c,D0001010Z
OL_7e821d29c583df01,D0001020Z
OL_0dcb6077a4d71620,D0001030Z
OL_f8a2e70561e37bc1,D0002040Z
OL_a0cdbf5845c30d6f,D0002050Z
OL_11c5e36dc932f1a1,D0013000Z
OL_4e6599adba4dfc12,D0113000Z
OL_6ac3baea6c2ca5f4,D1830
OL_9fb78b6f883da1e5,D1830000Z
OL_be5d6e108d8fc502,D1840
OL_c2370eb93d991536,D1840000Z
OL_7d9dade3b5ece0f2,D1850
OL_90d1a0040426badf,D1850000Z
OL_bf85ea8f1a052c44,D1860
OL_125c1c2e94d5692f,D1860000Z
OL_75828e5099a4c748,D1870
OL_272f5227d247d23e,D1870000Z
OL_aa94b931b169e365,D1880
OL_ac561e684a4cb133,D1880000Z
OL_280dc17bab015758,D2280
OL_c401c80c50482991,D2280000Z
OL_79d09854cf8017fb,D2300
OL_e11a86686f48fd32,D2300000Z
OL_9cf717d523b1e5cc,D2611
OL_c3c5d8ed5dcf5054,D2611000Z
OL_0d144ac703cc92e2,D2800020
OL_46de88150d3a3782,D2800020Z
OL_c353cb064beb5354,D2800030
OL_9cf9ebc0568c3bc2,D2800030Z
OL_ae0c3000ea529bc6,D2800060
OL_92d1203db866a7dd,D2800060Z
OL_ba9ceb220edb34ae,D3022
OL_bfa01c1560ed5478,D3022000Z
OL_a0354878574b9d3b,D0013
OL_517647f4e02868e0,EOS
OL_e0a15cbe21385495,D0002040
OL_9e4f789786bdb20b,D0002050
OL_6684b9ea90aed8b3,LYM
OL_d902ff8565687697,M1
OL_b0e1ccc164677126,M2
OL_f610ce09a6fec92f,M3
OL_1df6675d362bf025,MCH
OL_a2001f3abb1f96fc,MCHC
OL_f332b4a0756f5ed7,MCV
OL_e2dcc4cd5f700bff,MON
OL_03ecf40c2a7e596c,NEU
OL_783b20705721ee68,D0002070
OL_a88ceece96a5cc96,D0002030
OL_5048ad283c0b8dab,D0002010
OL_1f7d4f5e10ba3e04,KK059
OL_1d4f9a547d7bdec5,678900721
OL_92d78ffba33cb7c3,TNAPERI
OL_8791d712074eec36,IA673
OL_658c04551b7337ef,628900900
OL_76f8dd033eb77230,649500350
OL_dd4df7e5e6edb750,693900170
OL_eba4bf37bf6a2c60,642102282
OL_cfa53cc66fdb14c0,643900710
OL_ecc7e50213629f0b,2CHOK20
OL_e2b4ee985a895e9b,2CHOK20
OL_21ff95c44b73ea8e,AA254090
OL_dca24ea5e42eefc6,AA254
OL_7c8fd44013d3de3a,IC002
OL_0dbbfdb4cad8e9e1,642902290
OL_70fda4da118437a5,643309280
OL_ec953e52e6ac2781,647804900
OL_46bc37b7c8fe5bfa,653700240
OL_4d41be58af8e2415,653801510
OL_6fe305d9bf5bf11b,657202960
OL_54035d1494739cb8,647302890
OL_eac5868b18b025cd,642204180
OL_51ca3d5f873904e8,AA254080
OL_4d70bf79936ff6c0,628900300
OL_6dae0654bc6395d2,628900850
OL_b32372d1b8149177,628900880
OL_002a647d3ed5cb31,628902310
OL_672afdc7a7de5e6d,647302910
OL_88c9ec9e8fe63e8d,658204000
OL_2a4871bef84f8530,662504760
OL_fef3bd75ce4adcad,672300240
OL_caa35d7e32aedc4b,620500120
OL_b8771b5e9576a09b,628900930
OL_a5607428aaf9bec5,693900080
OL_3d8afbe4be6bcfab,653501460
OL_0dbc35e983524667,640007270
